"PR"	"URL"	"HTTP status code"	"Content type"	"Is indexable page"	"Title"	"Title length"	"Meta description"	"Meta description length"	"H1"	"H1 length"	"Meta robots"	"Robots information in HTTP headers"	"Canonical URL"	"Canonical URL code"	"Size (bytes)"	"No. of content words"	"Depth"	"No. of href inlinks"	"No. of inlinks dofollow"	"No. of internal outlinks"	"No. of external outlinks"	"Loading time (ms)"	"Organic traffic"	"No. of backlinks"	"No. of dofollow backlinks"	"No. of nofollow backlinks"	"No. of referring domains"	"No. of referring pages"
"53"	"https://cindemirlaw.com/understanding-the-role-and-responsibilities-of-a-commercial-agent/"	"200"	"text/html; charset=utf-8"	"true"	"Commercial Agent Responsibilities in Turkey | Cindemir Law Office"	"65"	"Explains Commercial Agent Responsibilities in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"144"	"Understanding the Role and Responsibilities of a Commercial Agent"	"65"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/understanding-the-role-and-responsibilities-of-a-commercial-agent/"	"200"	"170310"	"874"	"0"	"120"	"119"	"35"	"4"	"736"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/humanitarian-residence-permit-application-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Humanitarian Residence Permit Application In Turkey | Turkish Law"	"65"	"Explains Humanitarian Residence Permit Application In Turkey, including procedures, documents, risks and key legal points for foreign clients."	"142"	"Humanitarian Residence Permit Application In Turkey"	"51"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/humanitarian-residence-permit-application-in-turkey/"	"200"	"159176"	"679"	"0"	"83"	"83"	"19"	"4"	"795"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/tort-law-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Enforcement of Foreign Judgments in Turkey | Cindemir Law Office"	"64"	"Explains Enforcement of Foreign Judgments in Turkey, including enforcement steps, documents and practical risks for creditors."	"126"	"Enforcement of Foreign Judgments in Turkey"	"42"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/tort-law-in-turkey/"	"200"	"165443"	"956"	"0"	"104"	"103"	"35"	"4"	"843"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/inheritance-rights-for-divorced-spouses/"	"200"	"text/html; charset=utf-8"	"true"	"Inheritance Rights for Divorced Spouses in Turkey | Legal Overview"	"66"	"Explains Inheritance Rights for Divorced Spouses in Turkey, including heirs, probate, documents and practical risks for foreign families."	"137"	"Inheritance Rights for Divorced Spouses"	"39"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/inheritance-rights-for-divorced-spouses/"	"200"	"163940"	"808"	"0"	"100"	"100"	"26"	"4"	"755"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	"text/html; charset=utf-8"	"true"	"Family Unity and Deportation in Turkey | Cindemir Law Office"	"60"	"Explains Family Unity and Deportation in Turkey, including documents, authority practice and procedural options for foreign nationals."	"134"	"Principle of Family Unity, Deportation Procedures, and Protection of Family Unity for Deportees"	"95"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	"164455"	"669"	"0"	"75"	"75"	"31"	"4"	"813"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/interim-injunctions-in-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Interim Injunctions In Turkish Law | Cindemir Law Office"	"56"	"Explains Interim Injunctions In Turkish Law, including procedures, documents, risks and key legal points for foreign clients."	"125"	"Interim Injunctions In Turkish Law"	"34"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/interim-injunctions-in-turkish-law/"	"200"	"164475"	"790"	"0"	"107"	"107"	"30"	"4"	"773"	"0"	"0"	"0"	"0"	"0"	"0"
"52"	"https://cindemirlaw.com/escrow-account-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Escrow Account Turkey | Cindemir Law Office"	"43"	"Explains Escrow Account Turkey, including payment security, contractual structure and practical risks in transactions."	"118"	"Escrow Account Turkey"	"21"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/escrow-account-turkey/"	"200"	"164044"	"624"	"0"	"76"	"76"	"27"	"4"	"804"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/compulsory-earthquake-insurance-in-turkey-compensation-claim/"	"200"	"text/html; charset=utf-8"	"true"	"Compulsory Earthquake Insurance in Turkey - Compensation Claim"	"62"	"Explains Compulsory Earthquake Insurance in Turkey - Compensation Claim, including liability, evidence and compensation issues under Turkish law."	"145"	"Compulsory Earthquake Insurance in Turkey – Compensation Claim"	"62"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/compulsory-earthquake-insurance-in-turkey-compensation-claim/"	"200"	"166377"	"1039"	"0"	"26"	"26"	"30"	"4"	"798"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/turkish-succession-law/"	"200"	"text/html; charset=utf-8"	"true"	"Succession in Turkey | Cindemir Law Office"	"42"	"Explains Succession in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"111"	"Succession in Turkey"	"20"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/turkish-succession-law/"	"200"	"165901"	"1104"	"0"	"33"	"33"	"30"	"4"	"798"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/software-account-services/"	"200"	"text/html; charset=utf-8"	"true"	"Software Account Services in Turkey | Legal Overview"	"52"	"Explains Software Account Services in Turkey, including payment security, contractual structure and practical risks in transactions."	"132"	"Software Account Services"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/software-account-services/"	"200"	"160397"	"612"	"0"	"55"	"55"	"21"	"4"	"744"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/car-accident-in-turkey-and-legal-compensation-issues/"	"200"	"text/html; charset=utf-8"	"true"	"Car Accident in Turkey and Compensation Issues"	"46"	"Article aims to touch on Car Accident in Turkey and Legal Compensation Issues.you can find relevant responses for the questions concerning traffic accidents."	"157"	"Car Accident in Turkey and Compensation Issues"	"46"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/car-accident-in-turkey-and-legal-compensation-issues/"	"200"	"163010"	"1256"	"0"	"36"	"35"	"21"	"4"	"777"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/free-trade-zone-company-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Free Trade Zone Company in Turkey | Cindemir Law Office"	"55"	"Explains Free Trade Zone Company in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"134"	"Free Trade Zone Company in Turkey"	"33"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/free-trade-zone-company-in-turkey/"	"200"	"167147"	"1036"	"0"	"29"	"29"	"32"	"4"	"773"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/finding-a-nominee-director-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Finding a nominee director in Turkey | Cindemir Law Office"	"58"	"Explains Finding a nominee director in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"137"	"Finding a nominee director in Turkey"	"36"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/finding-a-nominee-director-in-turkey/"	"200"	"163241"	"559"	"0"	"52"	"52"	"27"	"4"	"758"	"0"	"1"	"1"	"0"	"1"	"1"
"51"	"https://cindemirlaw.com/international-marriage-certificate-form-b-turkey-marriage-records/"	"200"	"text/html; charset=utf-8"	"true"	"International Marriage Certificate in Turkey | Cindemir Law Office"	"66"	"Explains International Marriage Certificate in Turkey, including court procedure, recognition issues and family-law risks for foreign clients."	"142"	"International Marriage Certificate – Form B | Turkey | Marriage Records"	"71"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/international-marriage-certificate-form-b-turkey-marriage-records/"	"200"	"165586"	"736"	"0"	"29"	"29"	"30"	"4"	"758"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/liquidation-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Liquidation in Turkey | Cindemir Law Office"	"43"	"Explains Liquidation in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"122"	"Liquidation in Turkey"	"21"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/liquidation-in-turkey/"	"200"	"164658"	"793"	"0"	"62"	"62"	"31"	"4"	"774"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/intentional-killing-under-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Intentional Killing under Turkish Law | Cindemir Law Office"	"59"	"Learn about homicide and suicide-related offences under Turkish criminal law, including intentional homicide, aggravated homicide and Article 84 offences."	"154"	"Intentional Killing under Turkish Law"	"37"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/intentional-killing-under-turkish-law/"	"200"	"175621"	"2089"	"0"	"25"	"25"	"32"	"4"	"820"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"https://cindemirlaw.com/unfair-competition-in-turkey-understanding-the-issues-and-finding-solutions/"	"200"	"text/html; charset=utf-8"	"true"	"Unfair Competition in Turkey | Cindemir Law Office"	"50"	"Explains Unfair Competition in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"119"	"Unfair Competition in Turkey: Understanding the Issues and Finding Solutions"	"76"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/unfair-competition-in-turkey-understanding-the-issues-and-finding-solutions/"	"200"	"164039"	"756"	"0"	"45"	"44"	"32"	"4"	"859"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/our-videos/"	"200"	"text/html; charset=utf-8"	"true"	"Our Videos - Cindemir Law Office"	"32"	"Our Legal Videos – Watch expert insights on Turkish law, business regulations, and legal procedures. Stay informed with professional guidance from Cindemir Law Office."	"167"	"Youtube-videos"	"14"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/our-videos/"	"200"	"152659"	"125"	"0"	"0"	"0"	"12"	"4"	"744"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/bank-account-opening-in-turkey-for-russian-companies/"	"200"	"text/html; charset=utf-8"	"true"	"Bank Account Opening in Turkey for Russian Companies | Turkish Law"	"66"	"Explains Bank Account Opening in Turkey for Russian Companies, including payment security, contractual structure and practical risks in transactions."	"149"	"Bank Account Opening in Turkey for Russian Companies"	"52"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/bank-account-opening-in-turkey-for-russian-companies/"	"200"	"158267"	"499"	"0"	"3"	"3"	"21"	"4"	"745"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/sexual-assault-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Sexual assault in Turkey | Cindemir Law Office"	"46"	"Explains Sexual assault in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"115"	"Sexual assault in Turkey"	"24"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/sexual-assault-in-turkey/"	"200"	"163501"	"1420"	"0"	"7"	"7"	"29"	"4"	"743"	"0"	"2"	"2"	"0"	"2"	"2"
"50"	"https://cindemirlaw.com/transferring-a-tiktok-account-with-escrow/"	"200"	"text/html; charset=utf-8"	"true"	"Transferring a TikTok account with Escrow in Turkey | Legal Overview"	"68"	"Explains Transferring a TikTok account with Escrow in Turkey, including payment security, contractual structure and practical risks in transactions."	"148"	"Transferring a TikTok account with Escrow"	"41"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/transferring-a-tiktok-account-with-escrow/"	"200"	"162206"	"510"	"0"	"15"	"15"	"24"	"4"	"850"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/enforcement-and-recognition-of-foreign-arbitral-awards-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Enforcement and Recognition of Foreign Arbitral Awards in Turkey"	"64"	"This article is aimed at explaining current provision and practice of enforcement and Recognition of Foreign Arbitral Awards in Turkey."	"135"	"Enforcement and Recognition of Foreign Arbitral Awards in Turkey"	"64"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-and-recognition-of-foreign-arbitral-awards-in-turkey/"	"200"	"180412"	"3408"	"0"	"12"	"12"	"36"	"4"	"772"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/consensual-divorce-in-turkey-uncontested-divorce/"	"200"	"text/html; charset=utf-8"	"true"	"Consensual Divorce in Turkey"	"28"	"This article aims to explain about the consensual divorce in Turkey (uncontested divorce in turkey) . Explaining Divorce with settlement agreement."	"147"	"Consensual Divorce in Turkey (Uncontested Divorce in Turkey)"	"60"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/consensual-divorce-in-turkey-uncontested-divorce/"	"200"	"166337"	"890"	"0"	"21"	"21"	"36"	"4"	"777"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/prosecutor/"	"200"	"text/html; charset=utf-8"	"true"	"Irish Tourist Acquittal Request in Turkey | Cindemir Law Office"	"63"	"Legal news and media note on Irish Tourist Acquittal Request in Turkey, with context from Cindemir Law Office in Turkey."	"120"	"Prosecutor demanded acquittal of our client ” Irish Tourist” based on the defence of Cindemir Law Office"	"104"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/prosecutor/"	"200"	"163712"	"620"	"0"	"10"	"10"	"27"	"4"	"782"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/international-private/"	"200"	"text/html; charset=utf-8"	"true"	"International Private Law of Turkey, Provisions related to Enforcement of Foreign Arbitral Awards"	"97"	"International Private Law of Turkey, Provisions related to Enforcement of Foreign Arbitral Awards"	"97"	"International Private Law of Turkey, Provisions related to Enforcement of Foreign Arbitral Awards"	"97"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/international-private/"	"200"	"164442"	"853"	"0"	"13"	"13"	"28"	"4"	"788"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/statute-of-limitations-related-to-personal-injury-cases-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Statute of Limitations Related to Personal Injury Cases in Turkey"	"65"	"Legal news and media note on Statute of Limitations Related to Personal Injury Cases in Turkey, with context from Cindemir Law Office in Turkey."	"144"	"Statute of Limitations Related to Personal Injury Cases in Turkey"	"65"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/statute-of-limitations-related-to-personal-injury-cases-in-turkey/"	"200"	"165437"	"768"	"0"	"13"	"13"	"27"	"4"	"758"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"домашняя страница"	"17"	"Если вы ищете русскоязычного адвоката в Стамбуле, мы предоставляем юридические услуги в сфере иммиграции, недвижимости, бизнеса и семейного права."	"146"	"O HAC
Наши юридические услуги"	"5
23"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/?lang=ru"	"200"	"165997"	"340"	"1"	"0"	"0"	"9"	"2"	"804"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/debt-recovery-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Debt Collection Turkey and Stages of Debt Collection Procedures"	"63"	"This article explains the procedures regarding debt collection Turkey. Turkey Debt process is explained with details by Turkish Lawyers."	"136"	"Debt Collection in Turkey"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/debt-recovery-in-turkey/"	"200"	"168586"	"963"	"0"	"21"	"21"	"34"	"4"	"762"	"0"	"3"	"2"	"1"	"3"	"3"
"50"	"https://cindemirlaw.com/offences-of-bodily-harm-under-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Offences of Bodily Harm under Turkish Law | Cindemir Law Office"	"63"	"Explains Offences of Bodily Harm under Turkish Law, including procedures, documents, risks and key legal points for foreign clients."	"132"	"Offences of Bodily Harm under Turkish Law"	"41"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/offences-of-bodily-harm-under-turkish-law/"	"200"	"163770"	"747"	"0"	"5"	"5"	"24"	"7"	"809"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/introduction-to-jurisdiction-of-divorce-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Jurisdiction in Turkish Divorce"	"31"	"This article is explaining the divorce principles in Turkish Divorce Law. Enforcement of a Foreign Divorce Decree in Turkey requires some standards."	"148"	"Introduction to Jurisdiction of Divorce in Turkey"	"49"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/introduction-to-jurisdiction-of-divorce-in-turkey/"	"200"	"169003"	"1441"	"0"	"19"	"19"	"38"	"5"	"750"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/proving-the-damage-of-a-victim-by-forensic-hospitals-under-malpractice-law-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Proving the Damage of a Victim by Forensic Hospitals"	"52"	"This article is explaining the issues concerning proving the damage of a victim by forensic hospitals under Turkish Law. I"	"122"	"Proving the Damage of a Victim by Forensic Hospitals under Malpractice Law in Turkey"	"84"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/proving-the-damage-of-a-victim-by-forensic-hospitals-under-malpractice-law-in-turkey/"	"200"	"164549"	"773"	"0"	"19"	"19"	"30"	"4"	"758"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/overcoming-the-5-year-entry-ban-in-turkey-a-path-to-redemption/"	"200"	"text/html; charset=utf-8"	"true"	"Overcoming the 5-Year Entry Ban in Turkey: A Path to Redemption"	"63"	"Explains Overcoming the 5-Year Entry Ban in Turkey: A Path to Redemption, including documents, authority practice and procedural options for foreign nationals."	"159"	"Overcoming the 5-Year Entry Ban in Turkey: A Path to Redemption"	"63"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/overcoming-the-5-year-entry-ban-in-turkey-a-path-to-redemption/"	"200"	"165063"	"722"	"0"	"15"	"15"	"33"	"4"	"756"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/enforcement-of-icsid-awards-in-turkey-the-light-of-last-developments/"	"200"	"text/html; charset=utf-8"	"true"	"ENFORCEMENT OF ICSID AWARDS IN TURKEY"	"37"	"This article is written for the purpose of enlightening the law society concerning the last developments in Turkey regarding the enforcement of ICSID awards."	"157"	"Enforcement of ICSID Awards in Turkey in The Light Of Last Developments"	"71"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-of-icsid-awards-in-turkey-the-light-of-last-developments/"	"200"	"168035"	"1240"	"0"	"14"	"14"	"33"	"4"	"1296"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/can-russian-establish-a-company-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Can Russian Establish a Company in Turkey? | Cindemir Law Office"	"64"	"Explains Can Russian Establish a Company in Turkey?, including company procedures, governance, compliance and key points for foreign investors."	"143"	"Can Russian Establish a Company in Turkey?"	"42"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/can-russian-establish-a-company-in-turkey/"	"200"	"165516"	"904"	"0"	"13"	"13"	"31"	"4"	"757"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"https://cindemirlaw.com/provisions-of-custody-under-turkish-civil-code/"	"200"	"text/html; charset=utf-8"	"true"	"Provisions of Custody under Turkish Civil Code"	"46"	"This page is about Turkish Civil Code related to provisions of custody. Under section of Turkish Family Law, it is stipulated."	"126"	"Provisions of Custody under Turkish Civil Code"	"46"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/provisions-of-custody-under-turkish-civil-code/"	"200"	"166604"	"1354"	"0"	"17"	"17"	"31"	"4"	"779"	"0"	"0"	"0"	"0"	"0"	"0"
